value,datetime,datetime_utc,tz_time,geo_id,geo_name
9082.0,2025-04-11 11:30:00+02:00,2025-04-11T09:30:00Z,2025-04-11T09:30:00.000Z,8741,Península
9023.0,2025-04-11 11:45:00+02:00,2025-04-11T09:45:00Z,2025-04-11T09:45:00.000Z,8741,Península
9728.0,2025-04-11 12:00:00+02:00,2025-04-11T10:00:00Z,2025-04-11T10:00:00.000Z,8741,Península
9769.0,2025-04-11 12:15:00+02:00,2025-04-11T10:15:00Z,2025-04-11T10:15:00.000Z,8741,Península
9774.0,2025-04-11 12:30:00+02:00,2025-04-11T10:30:00Z,2025-04-11T10:30:00.000Z,8741,Península
9746.0,2025-04-11 12:45:00+02:00,2025-04-11T10:45:00Z,2025-04-11T10:45:00.000Z,8741,Península
9739.0,2025-04-11 13:00:00+02:00,2025-04-11T11:00:00Z,2025-04-11T11:00:00.000Z,8741,Península
9668.0,2025-04-11 13:15:00+02:00,2025-04-11T11:15:00Z,2025-04-11T11:15:00.000Z,8741,Península
9038.0,2025-04-11 14:45:00+02:00,2025-04-11T12:45:00Z,2025-04-11T12:45:00.000Z,8741,Península
8880.0,2025-04-11 15:00:00+02:00,2025-04-11T13:00:00Z,2025-04-11T13:00:00.000Z,8741,Península
